#catalogue_i	 catalogue_j     ell_i   ell_j	s_i		s_j		 Cov^-1_ij    
pre-recon pre-recon 0 2 27.500000 147.500000 3.167431e+03
pre-recon pre-recon 0 2 27.500000 152.500000 -4.287252e+03
pre-recon pre-recon 0 2 27.500000 157.500000 -5.163273e+03
pre-recon pre-recon 0 4 27.500000 22.500000 1.219646e+02
pre-recon pre-recon 0 4 27.500000 27.500000 8.434207e+02
pre-recon pre-recon 0 4 27.500000 32.500000 1.872062e+03
pre-recon pre-recon 0 4 27.500000 37.500000 -1.306388e+03
pre-recon pre-recon 0 4 27.500000 42.500000 1.331994e+03
pre-recon pre-recon 0 4 27.500000 47.500000 -5.628567e+02
pre-recon pre-recon 0 4 27.500000 52.500000 3.865917e+02
pre-recon pre-recon 0 4 27.500000 57.500000 3.877269e+03
pre-recon pre-recon 0 4 27.500000 62.500000 3.492311e+03
pre-recon pre-recon 0 4 27.500000 67.500000 1.483537e+02
pre-recon pre-recon 0 4 27.500000 72.500000 -3.956359e+03
pre-recon pre-recon 0 4 27.500000 77.500000 -1.706504e+02
pre-recon pre-recon 0 4 27.500000 82.500000 1.220040e+03
pre-recon pre-recon 0 4 27.500000 87.500000 6.261085e+03
pre-recon pre-recon 0 4 27.500000 92.500000 4.318934e+03
pre-recon pre-recon 0 4 27.500000 97.500000 -1.851409e+02
pre-recon pre-recon 0 4 27.500000 102.500000 -4.816386e+03
pre-recon pre-recon 0 4 27.500000 107.500000 -6.805970e+01
pre-recon pre-recon 0 4 27.500000 112.500000 6.625602e+02
pre-recon pre-recon 0 4 27.500000 117.500000 4.375183e+03
pre-recon pre-recon 0 4 27.500000 122.500000 -7.494744e+02
pre-recon pre-recon 0 4 27.500000 127.500000 2.468557e+03
pre-recon pre-recon 0 4 27.500000 132.500000 2.692689e+03
pre-recon pre-recon 0 4 27.500000 137.500000 -7.804916e+03
pre-recon pre-recon 0 4 27.500000 142.500000 1.629659e+03
pre-recon pre-recon 0 4 27.500000 147.500000 2.952231e+03
pre-recon pre-recon 0 4 27.500000 152.500000 -2.949941e+03
pre-recon pre-recon 0 4 27.500000 157.500000 2.380567e+03
pre-recon pre-recon 0 0 32.500000 22.500000 -5.901121e+03
pre-recon pre-recon 0 0 32.500000 27.500000 -5.793137e+03
pre-recon pre-recon 0 0 32.500000 32.500000 1.240165e+05
pre-recon pre-recon 0 0 32.500000 37.500000 -7.267911e+03
