#catalogue_i	 catalogue_j     ell_i   ell_j	s_i		s_j		 Covij    
pre-recon pre-recon 0 2 32.500000 87.500000 -1.320634e-08
pre-recon pre-recon 0 2 32.500000 92.500000 2.528140e-08
pre-recon pre-recon 0 2 32.500000 97.500000 -1.684789e-07
pre-recon pre-recon 0 2 32.500000 102.500000 -1.822381e-07
pre-recon pre-recon 0 2 32.500000 107.500000 -1.477044e-07
pre-recon pre-recon 0 2 32.500000 112.500000 -1.924665e-07
pre-recon pre-recon 0 2 32.500000 117.500000 -1.949647e-08
pre-recon pre-recon 0 2 32.500000 122.500000 1.121250e-08
pre-recon pre-recon 0 2 32.500000 127.500000 -8.114603e-09
pre-recon pre-recon 0 2 32.500000 132.500000 1.854575e-07
pre-recon pre-recon 0 2 32.500000 137.500000 -6.912063e-08
pre-recon pre-recon 0 2 32.500000 142.500000 -1.749278e-07
pre-recon pre-recon 0 2 32.500000 147.500000 -2.944976e-07
pre-recon pre-recon 0 2 32.500000 152.500000 1.431893e-07
pre-recon pre-recon 0 2 32.500000 157.500000 -1.958249e-07
pre-recon pre-recon 0 4 32.500000 22.500000 -2.732434e-06
pre-recon pre-recon 0 4 32.500000 27.500000 7.684018e-07
pre-recon pre-recon 0 4 32.500000 32.500000 -1.096025e-06
pre-recon pre-recon 0 4 32.500000 37.500000 3.417957e-07
pre-recon pre-recon 0 4 32.500000 42.500000 -1.743865e-07
pre-recon pre-recon 0 4 32.500000 47.500000 -3.746379e-07
pre-recon pre-recon 0 4 32.500000 52.500000 -4.437403e-07
pre-recon pre-recon 0 4 32.500000 57.500000 7.183043e-07
pre-recon pre-recon 0 4 32.500000 62.500000 5.057416e-08
pre-recon pre-recon 0 4 32.500000 67.500000 5.822183e-07
pre-recon pre-recon 0 4 32.500000 72.500000 4.232077e-07
pre-recon pre-recon 0 4 32.500000 77.500000 2.028002e-07
pre-recon pre-recon 0 4 32.500000 82.500000 4.269674e-08
